thema	bron	Deelmodel	attribuut	waarde	label-nl	definitie	naam waardelijst	URL
algemeen	imkl-be	wion	imkl:annotatieType	annotatiePijlpunt	annotatie pijl	annotatie pijlpunt	AnnotatieTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatiePijlpunt
algemeen	imkl-be	wion	imkl:annotatieType	annotatieLijn	annotatie lijn	annotatie lijn	AnnotatieTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLijn
algemeen	imkl-be	wion	imkl:annotatieType	annotatieLabel	annotatie label	annotatie label	AnnotatieTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLabel
algemeen	imkl-be	wion	imkl:bestandMediaType	PNG	PNG	bestandstype heeft als MIME type image/PNG	BestandMediaTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PNG
algemeen	imkl-be	wion	imkl:bestandMediaType	PDF	PDF	bestandstype heeft als MIME type application/PDF	BestandMediaTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PDF
algemeen	imkl-be	wion	imkl:bestandMediaType	JPEG	JPEG	bestandstype heeft als MIME type image/JPEG	BestandMediaTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/JPEG
algemeen	imkl-be	wion	imkl:bestandMediaType	TIFF	TIFF	bestandstype heeft als MIME type image/TIFF	BestandMediaTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/TIFF
algemeen	imkl2015	wion	imkl:bijlageType	algemeen	algemeen	Algemene tekst die als bijlage wordt meegeleverd.	BijlageTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/algemeen
algemeen	imkl2015	wion	imkl:bijlageType	eisVoorzorgsmaatregel	eis voorzorgsmaatregel	De bijlage geeft de eis voorzorgsmaatregel weer.	BijlageTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/eisVoorzorgsmaatregel
algemeen	imkl2015	wion	imkl:bijlageType	nietBetrokken	niet betrokken	Netbeheerder heeft geen utiliteitsnet in dit gebied maar heeft wel een belang bij deze melding. De bijlage geeft het belang weer.	BijlageTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/nietBetrokken
algemeen	imkl2015	wion	imkl:bijlageType	verzoekTotContact	verzoek tot contact	Netbeheerder verzoekt tot opnemen contact.	BijlageTypeValue	
algemeen	inspire	wion	us-net-common:currentStatus	disused	buiten gebruik	De faciliteit wordt niet meer gebruikt, maar wordt niet of is niet ontmanteld.	ConditionOfFacilityValue	http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/disused
algemeen	inspire	wion	us-net-common:currentStatus	functional	functioneel	De faciliteit is functioneel.	ConditionOfFacilityValue	http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/functional
algemeen	inspire	wion	us-net-common:currentStatus	projected	geprojecteerd	De faciliteit wordt ontworpen. De bouwwerkzaamheden zijn nog niet begonnen.	ConditionOfFacilityValue	http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/projected
algemeen	imkl-be	wion	imkl:diepteNauwkeurigheid	tot30cm	tot 30 cm	Nauwkeurigheidsgraad tot op 30 cm.	NauwkeurigheidDiepteValue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot30cm
algemeen	imkl-be	wion	imkl:diepteNauwkeurigheid	tot50cm	tot 50 cm	"Nauwkeurigheidsgraad tot op 50 cm.
Nauwkeurigheidsgraad tot op 100 cm."	NauwkeurigheidDiepteValue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot50cm
algemeen	imkl-be	wion	imkl:diepteNauwkeurigheid	tot100cm	tot 100 cm	Nauwkeurigheidsgraad tot op 100 cm.	NauwkeurigheidDiepteValue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot100cm
algemeen	imkl-be	wion	imkl:diepteNauwkeurigheid	onbekend	onbekend	Nauwkeurigheidsgraad is onbekend.	NauwkeurigheidDiepteValue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/onbekend
algemeen	imkl2015	wion	imkl:diepteAangrijpingspunt	bovenkant	bovenkant	Bovenste punt van het object op de plaats van meting.	DiepteAangrijpingspuntValue	http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/bovenkant
