thema;bron;Deelmodel;attribuut;waarde;label-nl;definitie;naam waardelijst;URL
algemeen;imkl-be;wion;imkl:annotatieType;annotatiePijlpunt;annotatie pijl;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatiePijlpunt
algemeen;imkl-be;wion;imkl:annotatieType;annotatieLijn;annotatie lijn;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLijn
algemeen;imkl-be;wion;imkl:annotatieType;annotatieLabel;annotatie label;definitie;AnnotatieTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/AnnotatieTypeValue/annotatieLabel
algemeen;imkl-be;wion;bestandMediaType;PNG;PNG;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PNG
algemeen;imkl-be;wion;bestandMediaType;PDF;PDF;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/PDF
algemeen;imkl-be;wion;bestandMediaType;JPEG;JPEG;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/JPEG
algemeen;imkl-be;wion;bestandMediaType;TIFF;TIFF;definitie;BestandMediaTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BestandMediaTypeValue/TIFF
algemeen;imkl-nl;wion;bijlageType;algemeen;algemeen;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/algemeen
algemeen;imkl-nl;wion;bijlageType;eisVoorzorgsmaatregel;eis voorzorgsmaatregel;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/eisVoorzorgsmaatregel
algemeen;imkl-nl;wion;bijlageType;nietBetrokken;niet betrokken;definitie;BijlageTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/BijlageTypeValue/nietBetrokken
algemeen;inspire;wion;us-net-common:currentStatus;disused;buiten gebruik;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/disused
algemeen;inspire;wion;us-net-common:currentStatus;functional;functioneel;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/functional
algemeen;inspire;wion;us-net-common:currentStatus;projected;geprojecteerd;definitie;ConditionOfFacilityValue;http://inspire.ec.europa.eu/codelist/ConditionOfFacilityValue/projected
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot30cm;tot 30 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot30cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot50cm;tot 50 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot50cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;tot100cm;tot 100 cm;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/tot100cm
algemeen;imkl-be;wion;imkl:diepteNauwkeurigheid;onbekend;onbekend;definitie;NauwkeurigheidDiepteValue;http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidDiepteValue/onbekend
algemeen;imkl-nl;wion;imkl:diepteAangrijpingspunt;bovenkant;bovenkant;definitie;DiepteAangrijpingspuntValue;http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/bovenkant
algemeen;imkl-nl;wion;imkl:diepteAangrijpingspunt;binnenonderkantBuis;binnenonderkant buis;definitie;DiepteAangrijpingspuntValue;http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/binnenonderkantBuis
